X;ID;Codigo;Alternativo;EAN;Stock;Descripcion;Marca;Categoria;Division;Precio;
etl.bascs.impala.clases.Producto@3979a9c6;0;2;2;;50;ACONDICIONADORES DE AIRE MABE 18000TU MMT18;MABE;AIRES SPLITS PARED;CLIMATIZACION;4.117.000;
etl.bascs.impala.clases.Producto@499addd0;1;3;3;;50;ACONDICIONADORES DE AIRE MABE 24000TU MMT128
;MABE;AIRES SPLITS PARED;CLIMATIZACION;5.745.000;
etl.bascs.impala.clases.Producto@765bd43f;2;EDPCAQP251010-RT;PH273;8710103961581;50;AFEITADORA PHILIPS QP2510/15 ONEBLADE USO ROSTRO SECO HUMEDO 2 ACC 240V;PHILIPS;AFEITADORAS;CUIDADO PERSONAL;250.000;
etl.bascs.impala.clases.Producto@54bcc6cd;3;EDPCAQP252110-RT;PH274;8710103890386;50;AFEITADORA PHILIPS QP2521/10 ONEBLADE USO ROSTRO SECO HUMEDO 2 ACC 240V;PHILIPS;AFEITADORAS;CUIDADO PERSONAL;330.000;
etl.bascs.impala.clases.Producto@20ff7205;4;EDAWS600BT;AW148;7453041023942;50;AIWA - PARLANTE AW-S600BT W/PROOF BT/TWS/FM/USB (CH);AIWA;PARLANTES ACT. BATERIA;TV/AUDIO/VIDEO;750.000;
etl.bascs.impala.clases.Producto@3f944f97;5;ELAWSR10NBKBK;AW181;7453041022587;0;AIWATCH PRO AW-SR10N MARCO NEGRO BT/GPS/RIT CARDIACO;AIWA;ACCESORIOS;ACCESORIOS;540.000;
etl.bascs.impala.clases.Producto@17c68e76;6;ELAWS115B;AW164;7453041022495;50;AIWATCH SMART BAND AW-S115B  BT/FREC CARDIACA/CLIMA/PRES ART;AIWA;ACCESORIOS;ACCESORIOS;230.000;
etl.bascs.impala.clases.Producto@257ea8ed;7;EDPCPPBHS67400-RT;PH210;8710103769279;5;ALISADOR PHILIPS BHS674/00 PLACA CERAMICA 10FUN DIG TEMP 220?C ION 240V;PHILIPS;ALISADORES;CUIDADO PERSONAL;442.000;
etl.bascs.impala.clases.Producto@7e4a991d;8;EDPCPPBHS67500-RT;PH211;8710103769361;50;ALISADOR PHILIPS BHS675/00 PLACA CERAMICA 11FUN DIG 230?C ION KERATINA 240V;PHILIPS;ALISADORES;CUIDADO PERSONAL;540.000;
etl.bascs.impala.clases.Producto@63bf89b4;9;EDPCPHP832100-RT;PH240;8710103751762;50;ALISADOR PHILIPS HP8321/00 PLACA TURMALINA 100MM TEMPERATURA 210?C 240V;PHILIPS;ALISADORES;CUIDADO PERSONAL;260.000;
etl.bascs.impala.clases.Producto@40290e8b;10;COREATVITRO26752-BK;RE37;7899639799910;50;ANAFE REALCE COOKTOP ATALANTA 5H NEGRO TRIPLE LLAMA;REALCE;ANAFE DE EMPOTRAR;COCCION;830.000;
etl.bascs.impala.clases.Producto@10c0ffa3;11;ELAW4TURBOBK-RT;AW6;;0;AURICULAR AIWA AW-4TURBO-BK/BT/HI FI/MIC/BAT DE 13HS/NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;360.000;
etl.bascs.impala.clases.Producto@3a681ed7;12;ELAW4TURBOCH-RT;AW7;7453041029661;5;AURICULAR AIWA AW-4TURBO-CH/BT/HI FI/MIC/BAT DE 13HS/CHAMPAGNE;AIWA;HEADPHONES;TV/AUDIO/VIDEO;360.000;
etl.bascs.impala.clases.Producto@2505d207;13;ELAW4TURBORO-RT;AW40;;5;AURICULAR AIWA AW-4TURBO-R/O/BT/HI FI/MIC/BAT DE 13HS/ROSADO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;360.000;
etl.bascs.impala.clases.Producto@2d50dd7a;14;ELAW810BTBK-RT;AW72;7450078489352;5;AURICULAR AIWA AW-810BT-BK BT/INTRAUDITIVOS/MIC/PLAY 4HS/NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;150.000;
etl.bascs.impala.clases.Producto@3afa0294;15;ELAW810BTW-RT;AW73;;20;AURICULAR AIWA AW-810BT-W BT/INTRAUDITIVOS/MIC/PLAY 4HS/BLANCO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;150.000;
etl.bascs.impala.clases.Producto@409e2dba;16;ELAW8NCBTBK-RT;AW50;7450078489086;20;AURICULAR AIWA AW-8NCBT-BK BT/MIC/REDUCCION RUIDO Y ECO/LI-ON;AIWA;HEADPHONES;TV/AUDIO/VIDEO;495.000;
etl.bascs.impala.clases.Producto@4b005a44;17;ELAW902BK-RT;AW74;7450078489338;20;AURICULAR AIWA AW-902-BK SPORT IN/EAR BT C/MIC PLAY 8HS NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;200.000;
etl.bascs.impala.clases.Producto@6010e553;18;ELAW902R-RT;AW75;7450078489321;20;AURICULAR AIWA AW-902-R SPORT IN/EAR BT C/MIC PLAY 8HS ROJO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;200.000;
etl.bascs.impala.clases.Producto@a94b567;19;ELAW980BK-RT;AW76;7450078489314;20;AURICULAR AIWA AW-980-BK SPORT IN/EAR BT C/MIC PLAY 6HS NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;197.000;
etl.bascs.impala.clases.Producto@3bd6aa72;20;ELAWA36BTBK-RT;AW111;7450078489383;5;AURICULAR AIWA AW-A36BT-BK BT INALAMBRICOS NEGROS (CH) Alcance inalambrico: 10M;AIWA;HEADPHONES;TV/AUDIO/VIDEO;285.000;
etl.bascs.impala.clases.Producto@724d0536;21;ELAWA61BTB-RT;AW87;7450078489413;5;AURICULAR AIWA AW-A61BT-B BT INALAMBRICO MIC AZUL;AIWA;HEADPHONES;TV/AUDIO/VIDEO;216.000;
etl.bascs.impala.clases.Producto@15104c51;22;ELAWA61BTBK-RT;AW86;7450078489406;20;AURICULAR AIWA AW-A61BT-BK BT INALAMBRICO MIC NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;216.000;
etl.bascs.impala.clases.Producto@3a00fc19;23;ELAW-TWSD1-W-RT;AW126;7453041022129;50;AURICULAR AIWA AW-TWSD1W INEAR BT INALAM BLANCOS;AIWA;HEADPHONES;TV/AUDIO/VIDEO;180.000;
etl.bascs.impala.clases.Producto@340b4411;24;ELAWTWSD3U-BK;AW139;7453041023928;50;AURICULAR AIWA AW-TWSD3UBK IN EAR BT INAL NEGRO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;210.000;
etl.bascs.impala.clases.Producto@2e758313;25;ELAWX107R-RT;AW45;;50;AURICULAR AIWA AW-X107R/ACUSTICA CERRADA/GRAVES POTENTES/MIC/ROJO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;98.000;
etl.bascs.impala.clases.Producto@39902048;26;ELAWF1BK;AW151;7453041022006;20;AURICULAR AIWA BT F1-BK NEGRO (CH);AIWA;HEADPHONES;TV/AUDIO/VIDEO;48.000;
etl.bascs.impala.clases.Producto@44df357;27;ELAWF1R;AW153;7453041022105;0;AURICULAR AIWA BT F1-R ROJO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;48.000;
etl.bascs.impala.clases.Producto@6a881403;28;ELAWHPX107R-RT;AW5;7798180585167;5;AURICULAR AIWA HP-X107R/ACUSTICA CERRADA/GRAVES POTENTES/MIC/ROJO;AIWA;HEADPHONES;TV/AUDIO/VIDEO;100.000;
etl.bascs.impala.clases.Producto@68e77f5a;29;ELPHB4000WT;PH124;6923410719208;0;AURICULAR PHILIPS SHB4000WT/BT/CONTROL DE LLAMADAS/BAT DE 9HS/BLANCO;PHILIPS;HEADPHONES;TV/AUDIO/VIDEO;186.000;
