ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet
;null;1;0;;;;;;2;;;null;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;Marca:null&Producto:null&Segmento:null&Vendedor:Sara Comercial;
;null;1;0;;;;;;3;;;null;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;Marca:null&Producto:null&Segmento:null&Vendedor:Sara Comercial;
;Afeitadora corporal Philips bg105/11 sistema protec skin 1 peine pila aa;1;181000;;;;;;EDPCPBG10511-RT;;;PHILIPS;8,7101E+12;;;10;20;42;2,1;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBG10511-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora Philips qp2521/10 oneblade uso rostro seco humedo 2 acc 240v;1;275000;;;;;;EDPCAQP252110-RT;;;PHILIPS;8,7101E+12;;;10;18;75;3,38;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP252110-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;null;1;0;;;;;;1;;;null;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;Marca:null&Producto:null&Segmento:null&Vendedor:Sara Comercial;
;Afeitadora rotativa Philips hq6944/16 sec closecut cable c/cortapatilla 100-240v;1;282000;;;;;;EDPCPAHQ694416;;;PHILIPS;8,7101E+12;;;114;164;67;313,16;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAHQ694416.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora corporal Philips bg105/11 sistema protec skin 1 peine pila aa;1;181000;;;;;;EDPCPBG10511-RT;;;PHILIPS;8,7101E+12;;;10;20;42;2,1;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBG10511-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora rotativa Philips s1223/41 aquatec hum/sec cortapatillas 45m/10h 240v;1;410000;;;;;;EDPCPASS122341-RT;;;PHILIPS;;;;151;205;285;2205,54;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPASS1223/41-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora Philips qp2510/10 oneblade uso rostro seco humedo 2 acc 240v;1;212000;;;;;;EDPCAQP251010-RT;;;PHILIPS;8,7101E+12;;;10;204;6;3,06;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP251010-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
;Afeitadora rotativa Philips s5050/04 sec/hum comfortcut 30m/8h trimmer 100-240v;1;605000;;;;;;EDPCPAS505004-RT;;;PHILIPS;8,7101E+12;;;135;19;7;4,49;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS505004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;
