ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Acondicionadores de aire Mabe 12000tu mmt12;1;716000;;;;;;1;;;MABE;757638394031;;;78,50;34,00;57,00;38,03;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AAMMT12CDBWCCMS81.jpg;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora Philips qp2521/10 oneblade uso rostro seco humedo 2 acc 240v;1;275000;;;;;;EDPCAQP252110-RT;;;PHILIPS;8710103890386;;;10,00;18,00;7,50;0,34;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCAQP252110-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Acondicionadores de aire Mabe 24000tu mmt128;1;1601000;;;;;;3;;;MABE;757638394093;;;96,50;37,50;30,00;47,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AAMMT24CDBWCCMS8;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Acondicionadores de aire Mabe 18000tu mmt18;1;2449000;;;;;;2;;;MABE;757638394055;;;92,50;39,00;60,00;54,11;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/AAMMT18CDBWCCMS81.jpg;;;Marca:MABE&Producto:AIRES SPLITS PARED&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Afeitadora corporal Philips bg105/11 sistema protec skin 1 peine pila aa;1;181000;;;;;;EDPCPBG10511-RT;;;PHILIPS;8710103861867;;;10,00;20,00;4,20;0,21;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPBG10511-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips hq6944/16 sec closecut cable c/cortapatilla 100-240v;1;282000;;;;;;EDPCPAHQ694416;;;PHILIPS;8710103681373;;;11,40;16,40;6,70;0,32;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAHQ694416.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips s1223/41 aquatec hum/sec cortapatillas 45m/10h 240v;1;410000;;;;;;EDPCPASS122341-RT;;;PHILIPS;;;;15,10;20,50;28,50;2,21;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPASS1223/41-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips s5050/04 sec/hum comfortcut 30m/8h trimmer 100-240v;1;605000;;;;;;EDPCPAS505004-RT;;;PHILIPS;8710103740063;;;13,50;19,00;7,00;0,45;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS505004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips s5420/04 sec/hum +precision 45m/1h trimmer 100-240v;1;977000;;;;;;EDPCPAS542004-RT;;;PHILIPS;8710103742524;;;13,50;19,00;7,00;0,45;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS542004-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips s7310/12 sec/hum 50m/1h trimmer estuche 100-240v;1;1326000;;;;;;EDPCPAS731012-RT;;;PHILIPS;8710103738787;;;15,60;23,10;8,40;0,76;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAS731012-RT.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
