ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Aa compacto Tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;1;12684000;;;;;;null;;;TOKYO;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;1;44415000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abdominalera Evolution total crunch ab50;1;421000;;;;;;null;;;EVOLUTION;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual mod 901 en aluminio 17cm;1;156000;;;;;;null;;;MALTA;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;1;44415000;;;;;;null;;;TOKYO;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual 902 17cm;1;195000;;;;;;null;;;MALTA;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Aa ventana Tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1;1835000;;;;;;null;;;TOKYO;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abdominalera Evolution evo ab coaster monitor digital peso max 110kgs;1;1011000;;;;;;null;;;EVOLUTION;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;1;74973000;;;;;;null;;;TOKYO;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Ablandador de carne Skymsen mod abn-hd inox heavy duty 1/2 hp 220v/50 hz;1;7818000;;;;;;null;;;SKYMSEN;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;Marca:SKYMSEN&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
