ID;Nombre;Precio impuestos incluidos;ID regla de impuestos;En oferta (0/1);Valor del descuento;Porcentaje de descuento;Descuento desde (aaaa-mm-dd);Descuento hasta (aaaa-mm-dd);Referencia nº;N° de referencia proveedor;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Cantidad;Cantidad mínima;Nivel de stock bajo;Envíame un mensaje de correo electrónico cuando la cantidad esté por debajo de este nivel;Visible en;Coste adicional del envío;Unidad para el precio unitario;Resumen;Descripción;Etiquetas (x,y,z...);Meta-título;Meta keywords;Meta descripción;URL reescrita;Disponible para pedidos (0 = No, 1 = Si);Fecha de disponibilidad del producto;Fecha de creación del producto;URL's de las imágenes (x,y,z...);Textos alternativos de imagen (x,y,z...);Elimine las imágenes existentes (0 = No, 1 = Si);Característica (Nombre:Valor:Posición:Personalizado);Estado;Destacado;
;Aa compacto Tokyo mod trct240cwn1 240.000 frio/solo, 380-415v;1;44415000;;;;;;AACM19-TRCT240CWN1;;;TOKYO;7841175013296;;;221,20;128,40;169,50;1203,54;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM19-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual 902 17cm;1;194000;;;;;;GAMC902;;;MALTA;7896201709025;;;24,00;12,50;25,00;1,88;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAMC902.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Abdominalera Evolution total crunch ab50;1;419000;;;;;;GIMEVOAB50-N;;;EVOLUTION;7898953407297;;;25,00;67,50;85,00;35,86;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB50-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct360cwn1 360000btu 380-415v 3n 50hz;1;74973000;;;;;;AACM17-TRCT360CWN1;;;TOKYO;7841175009978;;;233,00;127,50;223,00;1656,19;;;5;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM17-TRCT360CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Aa compacto Tokyo frio solo mod trct-60cwn1-r 60000btu 380-415v 3n 50hz;1;12683000;;;;;;AACM18-TRCT60CWN1;;;TOKYO;7841175011339;;;93,50;86,50;134,00;270,94;;;20;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM18-TRCT60CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abdominalera Evolution evo ab coaster monitor digital peso max 110kgs;1;1011000;;;;;;GIMEVOAB-N;;;EVOLUTION;7841175005161;;;38,00;38,00;128,00;46,21;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GIMEVOAB-N.jpg;;;Marca:EVOLUTION&Producto:COMPLEMENTOS FITNESS&Segmento:FITNESS&Vendedor:Sara Comercial;;
;Aa ventana Tokyo 9000 btu tokchr18-09bt1 frio/calor con control remoto;1;1835000;;;;;;AATOKCHR18-09BT1;;;TOKYO;7841175011025;;;43,50;60,70;49,40;32,61;;;50;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AATOKCHR18-09BT1.jpg;;;Marca:TOKYO&Producto:AIRES DE VENTANA&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Ablandador de carne Malta manual mod 901 en aluminio 17cm;1;156000;;;;;;GACM-901;;;MALTA;;;;22,50;37,00;11,50;12,00;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GACM-901.jpg;;;Marca:MALTA&Producto:REBANADORES COMERCIALES&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
;Aa compacto Tokyo mod trct240cwn1 240000btu 380-415v 3n 50hz;1;44415000;;;;;;AACM16-TRCT240CWN1;;;TOKYO;7841175007653;;;169,50;128,40;221,20;1203,54;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/AACM16-TRCT240CWN1.jpg;;;Marca:TOKYO&Producto:AIRES TIPO COMPACTO&Segmento:CLIMATIZACION&Vendedor:Sara Comercial;;
;Abridora. aplastadora. formadora de masas Skymsen mod amp-500 1/2hp 220v/50hz;1;19527000;;;;;;GAAFMS-AMP5;;;SKYMSEN;7895707641877;;;77,00;88,00;102,00;172,79;;;0;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8099/files/imagenes/productos/GAAFMS-AMP5.jpg;;;Marca:SKYMSEN&Producto:EQUIPOS DE PANADERIA&Segmento:GASTRONOMIA Y EQUIPOS COMERCIALES&Vendedor:Sara Comercial;;
